Scenario,ISO,Country,Year,inflation,unemployment,gdp_ppp,population
Below2,JPN,Japan,2035,1.429790496826172,3.5137252807617188,4779.47279351165,116.0572
Below2,JPN,Japan,2040,1.7486121654510498,3.7731967568397526,4846.13577304388,112.672
Below2,JPN,Japan,2045,1.962142199277878,3.9901881217956543,5021.83492582475,109.2691
Below2,JPN,Japan,2050,1.9272732734680176,4.030065774917602,5270.24773442824,105.9877
Below2,KOR,South Korea,2025,2.13738876581192,3.36597353219986,2141.72538816622,53.5647
Below2,KOR,South Korea,2030,1.8790924847126005,3.260529100894928,2198.03204032839,53.1681
Below2,KOR,South Korea,2035,1.2879005670547483,2.960153460502624,2265.91919241846,52.5665
Below2,KOR,South Korea,2040,1.6193327307701115,3.097200095653534,2385.96219251192,51.6463
Below2,KOR,South Korea,2045,2.207336008548736,3.065357863903045,2456.25451096093,50.4272
Below2,KOR,South Korea,2050,2.328590452671051,3.260839283466339,2514.28771207993,49.0349
Below2,LTU,Lithuania,2025,2.0903543233871464,6.6077094078063965,104.886403298462,2.7097
Below2,LTU,Lithuania,2030,1.4296180903911593,6.562140583992004,116.160206624403,2.567
Below2,LTU,Lithuania,2035,0.958381712436676,6.93062961101532,120.597674957442,2.4383
Below2,LTU,Lithuania,2040,1.2773549258708956,7.13697052001953,121.522357357621,2.3201
Below2,LTU,Lithuania,2045,1.5980452001094816,7.212196946144104,122.273929804596,2.215
Below2,LTU,Lithuania,2050,1.775741249322891,7.069315075874329,122.76394485997,2.1198
Below2,LVA,Latvia,2025,1.741193056106567,6.6889342069625854,57.7409098866271,1.8258
Below2,LVA,Latvia,2030,1.0490272343158722,7.359126806259155,61.700757660464,1.7238
Below2,LVA,Latvia,2035,1.1874366104602812,7.301325917243957,64.4752432542057,1.6345
Below2,LVA,Latvia,2040,1.4699114561080937,7.319755434989929,65.8606147638581,1.5592
Below2,LVA,Latvia,2045,1.7469948530197146,7.382571220397949,67.0720231318432,1.4962
Below2,LVA,Latvia,2050,2.0387127995491023,7.169205665588379,69.0333352986804,1.442
Below2,MEX,Mexico,2025,2.4697935581207275,3.618490397930145,2479.0240513827,131.5929
Below2,MEX,Mexico,2030,1.4728422760963438,3.129614591598511,2695.90968253034,136.8536
Below2,MEX,Mexico,2035,1.660603106021881,2.7855162024497986,2959.64838645098,141.4694
Below2,MEX,Mexico,2040,2.269144713878632,2.515003919601441,3270.83998692715,145.3424
Below2,MEX,Mexico,2045,2.8348999023437504,2.4083385467529297,3628.85281426113,148.3839
Below2,MEX,Mexico,2050,3.0756307244300847,2.2756333947181697,4051.59561740634,150.6234
Below2,MYS,Malaysia,2025,2.0098811686038967,4.0147470235824585,949.801836839136,36.1155
Below2,MYS,Malaysia,2030,2.1414092779159546,3.5041945576667786,1070.12142166715,37.8743
Below2,MYS,Malaysia,2035,2.447102785110473,3.221543788909912,1210.00676636177,39.4885
Below2,MYS,Malaysia,2040,2.3910275101661687,3.0659869909286503,1378.51203087874,40.9228
Below2,MYS,Malaysia,2045,2.440784573554993,2.9893996119499207,1521.32705822974,42.188
Below2,MYS,Malaysia,2050,2.564758539199829,2.9553810358047485,1660.21724348469,43.2807
Below2,NLD,Netherlands,2025,1.7062893807888035,4.541131019592285,950.759695100889,17.484
Below2,NLD,Netherlands,2030,1.8920853137969968,6.0274274349212655,1006.15911887931,17.5967
Below2,NLD,Netherlands,2035,2.093403339385986,6.71992564201355,1050.50306283436,17.697
Below2,NLD,Netherlands,2040,2.0793369412422176,7.044262528419495,1090.63575502287,17.7468
Below2,NLD,Netherlands,2045,2.122429251670838,7.170878767967224,1142.22463586431,17.7597
Below2,NLD,Netherlands,2050,2.1033662557601933,7.292894124984741,1202.55561627684,17.7691
Below2,NOR,Norway,2025,2.4769005775451656,4.192077279090881,334.255479045402,5.5349
Below2,NOR,Norway,2030,1.8038993179798124,3.834205508232116,352.089120644966,5.6282
Below2,NOR,Norway,2035,1.2567541301250456,3.718031287193298,377.937876937922,5.743
Below2,NOR,Norway,2040,1.284777522087097,3.8169576525688176,404.514255364881,5.8576
Below2,NOR,Norway,2045,1.7061403691768642,3.8365618586540218,432.779760073285,5.9733
Below2,NOR,Norway,2050,2.0268467068672185,3.790986061096191,465.523802026446,6.0972
Below2,NZL,New Zealand,2025,3.000940263271332,3.958140313625336,205.692946136436,5.2888
Below2,NZL,New Zealand,2030,1.51886323094368,3.060278236865997,221.789066079137,5.486
Below2,NZL,New Zealand,2035,1.1988553404808044,3.038975119590759,244.938343052498,5.617
Below2,NZL,New Zealand,2040,1.3685873746871948,3.1620929837226863,268.905426232848,5.7364
Below2,NZL,New Zealand,2045,1.8990142643451688,3.0984875559806824,295.983956130214,5.8476
Below2,NZL,New Zealand,2050,2.106070458889008,2.9346632957458496,324.444877365065,5.951
Below2,POL,Poland,2025,2.52648025751114,5.450590968132019,1338.98613031943,38.7873
Below2,POL,Poland,2030,1.580164045095444,4.762664794921875,1521.73971302893,37.9505
Below2,POL,Poland,2035,0.4157057404518127,4.173433184623718,1656.10769599014,37.1403
Below2,POL,Poland,2040,0.7134970128536223,3.8070426583290096,1757.46548159835,36.3515
Below2,POL,Poland,2045,1.597432166337967,3.6097345948219295,1834.27890709163,35.5964
Below2,POL,Poland,2050,2.2352134585380554,3.525966107845306,1910.40181115241,34.9124
Below2,PRT,Portugal,2025,2.316831618547439,6.8557618856430045,348.135692517013,10.137
Below2,PRT,Portugal,2030,2.102187335491181,7.644215941429138,369.421045777179,9.9988
Below2,PRT,Portugal,2035,2.4816189408302303,7.915634870529175,391.493607241745,9.8932
Below2,PRT,Portugal,2040,2.621734321117401,8.08787202835083,415.732418047875,9.795
Below2,PRT,Portugal,2045,2.698517501354217,8.12024474143982,444.357825668155,9.6978
Below2,PRT,Portugal,2050,2.64999783039093,8.232858896255493,476.838095465247,9.5999
Below2,ROU,Romania,2025,3.2923666238784794,3.524958670139313,565.131498671987,18.7779
Below2,ROU,Romania,2030,2.2340266704559326,3.07217001914978,616.832524579482,18.187
Below2,ROU,Romania,2035,2.264740288257599,2.996084451675415,659.896799416907,17.5902
Below2,ROU,Romania,2040,2.183320999145508,2.95224517583847,689.309217394469,17.005
Below2,ROU,Romania,2045,2.391319513320923,2.908389091491699,714.954491270392,16.4251
Below2,ROU,Romania,2050,2.5442197918891902,2.8742507696151733,739.729412891341,15.8521
Below2,RUS,Russia,2025,5.343973517417908,3.169817328453064,3770.96459792661,146.9663
Below2,RUS,Russia,2030,1.402314633131027,4.496137738227844,3673.18196752432,144.667
Below2,RUS,Russia,2035,1.3817488551139832,4.118937492370606,3812.29303465334,142.8902
Below2,RUS,Russia,2040,1.5304133892059322,3.896765828132629,4165.51447389803,141.5408
Below2,RUS,Russia,2045,2.040310442447663,3.7279723286628728,4573.69996280804,140.6934
Below2,RUS,Russia,2050,2.347272634506226,3.605180501937866,5017.16809488908,140.1192
Below2,SGP,Singapore,2025,2.4382812976837163,2.137444972991944,560.012713479128,6.3544
Below2,SGP,Singapore,2030,1.9586585462093355,2.091909348964691,587.716858608453,6.569
Below2,SGP,Singapore,2035,2.243307650089264,2.3286146521568303,623.401383685647,6.7405
Below2,SGP,Singapore,2040,2.4139094352722164,2.31409752368927,664.827383367048,6.8639
Below2,SGP,Singapore,2045,2.777204990386963,2.507533192634583,683.700773990952,6.9477
Below2,SGP,Singapore,2050,2.4942781925201416,2.5258005261421204,690.827893719599,7.0075
Below2,SVK,Slovakia,2025,2.7508609294891357,5.705278277397156,185.498334132921,5.4706
Below2,SVK,Slovakia,2030,2.035946786403656,5.982911825180054,198.805990311896,5.4272
Below2,SVK,Slovakia,2035,1.8800261616706853,6.087680339813232,213.042943690135,5.3693
Below2,SVK,Slovakia,2040,1.7832141220569608,5.756340384483337,226.600511873077,5.2976
Below2,SVK,Slovakia,2045,1.7678600251674654,5.634098052978516,240.587032752327,5.2237
Below2,SVK,Slovakia,2050,1.7357108891010289,5.592342376708984,256.271285510743,5.1517
Below2,SVN,Slovenia,2025,1.8119578361511228,4.004404366016388,80.1671013656189,2.1025
Below2,SVN,Slovenia,2030,2.062549829483032,4.133301854133606,87.0992724327164,2.089
Below2,SVN,Slovenia,2035,1.6169337928295135,4.3661128282547,92.1693376403733,2.0753
Below2,SVN,Slovenia,2040,1.9040408730506897,4.238844513893127,95.7549461180016,2.0613
Below2,SVN,Slovenia,2045,2.3118971586227417,4.133156180381775,99.2261757810126,2.0474
Below2,SVN,Slovenia,2050,2.17969024181366,4.299438834190369,103.634964074038,2.0317
Below2,SWE,Sweden,2025,2.236429899930954,9.123940467834473,545.11651544835,10.5109
Below2,SWE,Sweden,2030,1.97923681139946,7.901314377784729,603.587971436125,10.7006
Below2,SWE,Sweden,2035,2.143834948539734,7.397654414176941,650.659684444666,10.8958
Below2,SWE,Sweden,2040,2.1751252412796016,7.223472714424133,687.723817282719,11.1082
Below2,SWE,Sweden,2045,2.1638835072517395,7.164969801902771,730.016370303641,11.3559
Below2,SWE,Sweden,2050,2.1433710455894466,7.14425802230835,780.27990991702,11.6408
Below2,TWN,Taiwan,2025,1.2222018837928772,4.656738638877869,1220.14252518323,23.2399
Below2,TWN,Taiwan,2030,1.5776626765727992,4.017282724380493,1277.1241312222,22.8612
Below2,TWN,Taiwan,2035,1.35476404428482,4.177999377250672,1330.07557737115,22.3309
Below2,TWN,Taiwan,2040,1.373266994953155,4.3485753536224365,1343.42308123349,21.635
Below2,TWN,Taiwan,2045,1.7976282835006718,4.223481416702271,1325.2329746493,20.8113
Below2,TWN,Taiwan,2050,2.0154800415039067,4.368504524230957,1282.06204219838,19.929
Below2,USA,United States,2025,2.3988695740699773,4.043743252754211,20611.1791572612,338.3907
Below2,USA,United States,2030,2.1217165589332585,4.496622920036315,22150.251138031,346.2928
Below2,USA,United States,2035,2.0914382338523865,4.556645512580872,23397.204833173,353.7667
Below2,USA,United States,2040,2.1639012098312382,4.534232139587402,24748.6889421797,360.8058
Below2,USA,United States,2045,2.361865401268005,4.509688973426819,26189.1112569915,367.2721
Below2,USA,United States,2050,2.2953757643699646,4.473478436470032,27572.5008121797,373.3425
Below2,VNM,Viet Nam,2025,2.755339920520783,3.3280403017997737,1150.79827930519,103.8072
Below2,VNM,Viet Nam,2030,3.1125274896621704,3.0640440583229065,1477.73530029671,107.1094
Below2,VNM,Viet Nam,2035,1.736143499612809,3.381465494632721,1861.73190491104,109.5953
Below2,VNM,Viet Nam,2040,1.7208236157894137,3.427850484848023,2295.78029269586,111.4396
Below2,VNM,Viet Nam,2045,2.0472366511821747,3.5178518295288086,2689.11158297082,112.7286
Below2,VNM,Viet Nam,2050,2.128926217556,3.5039520859718323,3067.33235800539,113.5181
Below2,ZAF,South Africa,2025,5.00317120552063,30.051155567169182,708.506955950206,61.7364
Below2,ZAF,South Africa,2030,4.179090976715088,28.103326320648197,705.767248759566,64.2587
Below2,ZAF,South Africa,2035,3.911859035491944,28.30766010284424,773.133684495734,66.2607
Below2,ZAF,South Africa,2040,3.675711035728455,28.743240833282467,910.96999204441,67.805
Below2,ZAF,South Africa,2045,3.67218941450119,28.83784437179565,1081.68962222811,68.8949
Below2,ZAF,South Africa,2050,3.6094049215316777,28.744479179382324,1256.14123117065,69.4573
Delayed transition,ARG,Argentina,2025,100.60025596618657,11.213003873825077,817.296564856257,46.4636
Delayed transition,ARG,Argentina,2030,-1.3288301937282083,10.04922938346863,905.731877745472,47.6556
Delayed transition,ARG,Argentina,2035,-2.3758301138877878,8.764251947402954,953.222352879007,48.7485
Delayed transition,ARG,Argentina,2040,0.1904036141932011,8.07822847366333,1002.72199522146,49.7239
Delayed transition,ARG,Argentina,2045,1.0779063403606417,7.785375595092773,1086.26906799268,50.5382
Delayed transition,ARG,Argentina,2050,1.473641663789749,7.632823705673218,1193.61552298936,51.1738
Delayed transition,AUS,Australia,2025,2.575347185134888,4.622394323348999,1259.12839188337,27.1235
Delayed transition,AUS,Australia,2030,2.3395254611969,4.928160548210144,1374.6002590101,28.403
Delayed transition,AUS,Australia,2035,2.5444725751876827,4.774353861808777,1502.34109032454,29.3463
Delayed transition,AUS,Australia,2040,2.589874804019928,4.915277481079102,1653.49151321173,30.2387
Delayed transition,AUS,Australia,2045,2.5505039691925044,4.936376333236693,1844.21229607958,31.1197
Delayed transition,AUS,Australia,2050,2.464603245258331,4.898791313171387,2048.4755859045,32.0157
Delayed transition,AUT,Austria,2025,2.5438737273216248,5.720015525817871,455.865721901133,8.9933
Delayed transition,AUT,Austria,2030,2.036248445510864,6.464451789855956,491.722086112177,9.0445
Delayed transition,AUT,Austria,2035,2.7012965083122253,6.5367807149887085,507.012488564683,9.0936
Delayed transition,AUT,Austria,2040,2.5179826617240906,6.881551265716553,513.976712745508,9.1347
Delayed transition,AUT,Austria,2045,2.4228462576866145,6.912761449813843,537.424326280693,9.1781
Delayed transition,AUT,Austria,2050,2.3667252659797664,6.842336535453796,562.022892694408,9.2167
Delayed transition,BEL,Belgium,2025,1.932797521352768,6.107625484466553,569.356877963545,11.6265
