country,technology,year,wacc,ISO,inflation,gdp,interest_rate,unemployment,population
Federal Republic of Germany,solar pv,2019,0.021,DEU,2.01597612377067,44207.6320519514,,3.163,83092962.0
Federal Republic of Germany,solar pv,2020,0.01831,DEU,1.75504597095741,42362.6472136853,,3.881,83160871.0
Federal Republic of Germany,wind offshore,2020,0.03175,DEU,1.75504597095741,42362.6472136853,,3.881,83160871.0
Federal Republic of Germany,wind onshore,2020,0.02435714285714285,DEU,1.75504597095741,42362.6472136853,,3.881,83160871.0
Federal Republic of Germany,wind offshore,2014,0.05,DEU,1.90082487333854,41588.0763875592,,4.979,80982500.0
Federal Republic of Germany,solar pv,2018,0.0155,DEU,1.86533423127291,43874.0130936092,,3.384,82905782.0
Federal Republic of Germany,wind offshore,2012,0.09,DEU,1.43207641485445,40829.034893805,,5.372,80425823.0
Federal Republic of Germany,wind onshore,2008,0.062,DEU,0.947839900359398,38996.143407627,,7.508,82110097.0
Federal Republic of Germany,wind onshore,2009,0.058,DEU,1.9947040666511,36927.1920287013,,7.88,81902307.0
Federal Republic of Germany,wind onshore,2011,0.047,DEU,1.23193488042945,40712.6577363042,,5.967,80274983.0
Federal Republic of Germany,wind onshore,2012,0.039,DEU,1.43207641485445,40829.034893805,,5.372,80425823.0
Federal Republic of Germany,wind offshore,2008,0.077,DEU,0.947839900359398,38996.143407627,,7.508,82110097.0
Republic of Uganda,solar pv,2023,0.25538,UGA,6.74801516641013,955.745797275462,,2.787,48656601.0
Hellenic Republic,wind onshore,2014,0.1275,GRC,-1.92347453577474,17903.5252559978,,26.708,10892413.0
Hellenic Republic,wind onshore,2015,0.1086666666666666,GRC,-0.17475366575222,17980.7298238137,,24.981,10820883.0
Hellenic Republic,wind onshore,2016,0.11,GRC,-0.489960701596374,18049.9289175756,,23.514,10775971.0
Hellenic Republic,solar pv,2014,0.138,GRC,-1.92347453577474,17903.5252559978,,26.708,10892413.0
Hellenic Republic,solar pv,2015,0.161,GRC,-0.17475366575222,17980.7298238137,,24.981,10820883.0
Hellenic Republic,solar pv,2016,0.095,GRC,-0.489960701596374,18049.9289175756,,23.514,10775971.0
Hellenic Republic,wind onshore,2018,0.062,GRC,-0.234800895538129,18769.0390099773,,19.179,10732882.0
Hellenic Republic,wind onshore,2019,0.062,GRC,0.245015797961827,19216.6760037219,,17.045,10721582.0
Hellenic Republic,solar pv,2018,0.06,GRC,-0.234800895538129,18769.0390099773,,19.179,10732882.0
Hellenic Republic,solar pv,2019,0.06,GRC,0.245015797961827,19216.6760037219,,17.045,10721582.0
Hellenic Republic,solar pv,2023,0.146238,GRC,5.87456266805546,21139.1916750925,,11.066,10405588.0
Hellenic Republic,wind onshore,2013,0.12,GRC,-1.96032167877375,17644.8766792834,,27.686,10965211.0
Hellenic Republic,solar pv,2020,0.04785,GRC,-0.3639597319481,17486.9513800415,,15.899,10698599.0
Hellenic Republic,wind onshore,2020,0.0384,GRC,-0.3639597319481,17486.9513800415,,15.899,10698599.0
Republic of Guatemala,solar pv,2014,0.085,GTM,2.86031160659735,3809.61576365876,10.6095553827158,2.717,15681725.0
Republic of Hungary,wind onshore,2014,0.113,HUN,3.6927260947232,12233.299367172,0.727927850740095,7.725,9866468.0
Republic of Hungary,solar pv,2018,0.05656458333333333,HUN,4.847425391946,14377.4241602939,-3.2203535626322,3.708,9775564.0
Republic of Hungary,solar pv,2019,0.05493005952380953,HUN,4.78502518079389,15083.5991718742,-2.85593422125175,3.419,9771141.0
Republic of Hungary,wind onshore,2019,0.0463175,HUN,4.78502518079389,15083.5991718742,-2.85593422125175,3.419,9771141.0
Republic of Hungary,solar pv,2023,0.139358,HUN,14.7490051351556,16282.830349083,0.481988651849058,4.107,9592186.0
Republic of Hungary,wind onshore,2013,0.113,HUN,2.82053189026186,11705.0092523564,3.38782575776228,10.177,9893082.0
Republic of Hungary,wind onshore,2015,0.0835,HUN,2.7757419080134,12717.038597002,0.123325582574453,6.813,9843028.0
Republic of Hungary,solar pv,2015,0.074,HUN,2.7757419080134,12717.038597002,0.123325582574453,6.813,9843028.0
Republic of Hungary,solar pv,2020,0.1843,HUN,6.38947660567723,14437.8088480852,-4.16562578727742,4.25,9750149.0
Republic of India,solar pv,2016,0.1053666666666667,IND,3.23797495080767,1694.46534973825,6.2327114148242,7.601,1343944296.0
Republic of India,solar pv,2017,0.08310000000000001,IND,3.96925793352338,1788.69770318446,5.32760886237311,7.618,1359657400.0
Republic of India,wind onshore,2017,0.1014,IND,3.96925793352338,1788.69770318446,5.32760886237311,7.618,1359657400.0
Republic of India,solar pv,2023,0.10746,IND,1.33405065563208,2236.31279250417,,4.172,1438069596.0
Republic of India,solar pv,2013,0.0875,IND,6.18650400083453,1399.4537980287,3.86599286270871,7.711,1295829511.0
Republic of India,solar pv,2014,0.108,IND,3.33175691706154,1484.31640682913,6.69517609043592,7.674,1312277191.0
Republic of India,solar pv,2015,0.1055,IND,2.27958810849833,1583.99815907985,7.55648841353986,7.631,1328024498.0
Republic of India,solar pv,2011,0.097,IND,8.73357890618065,1281.61054354933,1.31798086194015,7.616,1261224954.0
Republic of India,solar pv,2012,0.115,IND,7.9343874779296,1333.09626557668,2.47352048880901,7.666,1278674502.0
Republic of India,solar pv,2018,0.11,IND,3.88424027196663,1883.35772705062,5.36166638954869,7.652,1374659064.0
Republic of India,solar pv,2019,0.0935,IND,2.40551716106513,1936.03067741067,6.89487542729716,6.51,1389030312.0
Republic of India,solar pv,2021,0.0975,IND,8.35490771481598,1965.30943437506,0.316945144211866,6.38,1414203896.0
Republic of India,solar pv,2022,0.095,IND,6.74751308321969,2086.07688562779,1.70461092850436,4.822,1425423212.0
Republic of India,solar pv,2020,0.07083333333333333,IND,4.81485791893405,1806.50110583878,4.13599957786408,7.859,1402617695.0
Republic of India,wind onshore,2020,0.08380000000000001,IND,4.81485791893405,1806.50110583878,4.13599957786408,7.859,1402617695.0
Republic of India,wind onshore,2015,0.108,IND,2.27958810849833,1583.99815907985,7.55648841353986,7.631,1328024498.0
Republic of India,wind onshore,2010,0.107,IND,10.5260308551661,1235.15939133951,-1.98385922139866,7.652,1243481564.0
Republic of Indonesia,solar pv,2023,0.09378600000000001,IDN,1.5330736733459,4192.62390181339,7.28195525441058,3.308,281190067.0
Republic of Indonesia,solar pv,2019,0.0925,IDN,1.59848849984144,3850.90321753072,8.62940479031393,3.59,272489381.0
Republic of Indonesia,solar pv,2021,0.1,IDN,6.00397322136207,3850.68877267995,2.7532239499583,3.827,276758053.0
Republic of Indonesia,solar pv,2022,0.0825,IDN,9.56668684525337,4024.92074265014,-0.955296610119879,3.462,278830529.0
Ireland,wind onshore,2014,0.09,IRL,0.260925717324383,52098.1049579337,,11.858,4657740.0
Ireland,wind onshore,2019,0.0775,IRL,3.39169553046668,77117.1897861686,,4.95,4934340.0
Ireland,wind offshore,2018,0.0775,IRL,0.92433709655964,74427.5520727589,,5.741,4867316.0
Ireland,wind onshore,2013,0.09,IRL,1.33941394529278,47999.1237980737,,13.735,4623816.0
Ireland,wind onshore,2015,0.08583333333333333,IRL,8.90845059884661,64311.8234684057,,9.908,4701957.0
Ireland,solar pv,2015,0.0775,IRL,8.90845059884661,64311.8234684057,,9.908,4701957.0
Ireland,wind onshore,2010,0.07304,IRL,-2.85830318555095,47040.3543858023,,14.534,4560155.0
Ireland,wind onshore,2016,0.06589999999999985,IRL,0.119373685791231,64367.4069016353,,8.374,4755335.0
Ireland,solar pv,2020,0.0993,IRL,-1.92433938965517,81791.0934649925,,5.623,4985382.0
Ireland,wind onshore,2020,0.03255,IRL,-1.92433938965517,81791.0934649925,,5.623,4985382.0
Sultanate of Oman,solar pv,2023,0.177005,OMN,-4.05592540343423,18098.5776925062,,3.176,5049269.0
Italian Republic,wind onshore,2014,0.08,ITA,0.902550731497669,30091.3481539205,3.92865780540824,12.683,60789140.0
Italian Republic,wind onshore,2019,0.05025,ITA,1.04700690370913,32180.4341021496,1.53937572616391,9.951,59729081.0
Italian Republic,wind onshore,2018,0.0644,ITA,1.07058153142322,31675.5758014951,1.59237084044719,10.61,60421760.0
Italian Republic,solar pv,2023,0.11021828,ITA,5.81875394007432,34088.088128227,-0.875338874807456,7.627,58993475.0
Italian Republic,wind onshore,2013,0.08,ITA,1.12578398838561,30369.1293679326,3.97364798550543,12.149,60233948.0
Italian Republic,wind onshore,2015,0.07083333333333335,ITA,0.782776474937791,30387.1293187854,3.3204815764273,11.896,60730582.0
Italian Republic,solar pv,2015,0.085,ITA,0.782776474937791,30387.1293187854,3.3204815764273,11.896,60730582.0
Italian Republic,solar pv,2017,0.0469771275,ITA,0.709821721481291,31356.224035187,2.27486413210815,11.211,60536709.0
Italian Republic,wind onshore,2017,0.043072543,ITA,0.709821721481291,31356.224035187,2.27486413210815,11.211,60536709.0
Italian Republic,solar pv,2020,0.043325,ITA,1.57740277527265,29469.7989279182,0.739269303549746,9.164,59438851.0
Italian Republic,wind onshore,2020,0.04425,ITA,1.57740277527265,29469.7989279182,0.739269303549746,9.164,59438851.0
Jamaica,solar pv,2023,0.168225,JAM,11.6865531940529,5328.61624140582,-0.0312361035312853,4.4,2839786.0
Jamaica,solar pv,2016,0.039,JAM,4.66411175576692,5119.03971902628,11.2974879032959,8.634,2809915.0
Hashemite Kingdom of Jordan,solar pv,2013,0.162,JOR,6.1436238894444,4556.52023716712,2.70046942578587,12.6,7991809.0
Kingdom of Morocco,solar pv,2020,0.0907,MAR,0.142417962079094,3090.89428710938,,11.223,36584208.0
Republic of Malta,solar pv,2015,0.091,MLT,4.20024274625111,25481.8977555627,,5.389,445053.0
Republic of Mozambique,solar pv,2023,0.271028,MOZ,5.30134150828523,610.174972826279,17.4723875576335,3.519,33635160.0
Republic of Senegal,solar pv,2023,0.19455,SEN,3.85182919223391,1463.19101905166,,2.8,18077573.0
United Republic of Tanzania,solar pv,2023,0.20689,TZA,2.74821189393757,1092.86413574219,,2.582,66617606.0
Republic of Latvia,wind onshore,2014,0.093,LVA,1.66994936442666,12731.6774205863,,10.846,1993782.0
Republic of Latvia,solar pv,2018,0.121,LVA,3.74028070418355,15120.0696016293,,7.412,1927174.0
Republic of Latvia,solar pv,2019,0.121,LVA,4.31637930930459,15328.3861531528,,6.312,1913822.0
