Model,Scenario,ISO,Variable,Year,Value
Remind-Magpie_damages,Current Policies,BOL,Population,2025,12.7343
Remind-Magpie_damages,Current Policies,BOL,GDP_damage,2025,99.434747579947
Remind-Magpie_damages,Current Policies,BRA,Population,2025,219.5342
Remind-Magpie_damages,Current Policies,BRA,GDP_damage,2025,3181.69737946257
Remind-Magpie_damages,Current Policies,BRN,Population,2025,0.4798
Remind-Magpie_damages,Current Policies,BRN,GDP_damage,2025,24.5248535018588
Remind-Magpie_damages,Current Policies,BWA,Population,2025,2.774
Remind-Magpie_damages,Current Policies,BWA,GDP_damage,2025,40.2331932578166
Remind-Magpie_damages,Current Policies,CAN,Population,2025,39.4538
Remind-Magpie_damages,Current Policies,CAN,GDP_damage,2025,1768.27154221579
Remind-Magpie_damages,Current Policies,CHE,Population,2025,8.8939
Remind-Magpie_damages,Current Policies,CHE,GDP_damage,2025,574.751688276532
Remind-Magpie_damages,Current Policies,CHL,Population,2025,19.7585
Remind-Magpie_damages,Current Policies,CHL,GDP_damage,2025,467.628953783802
Remind-Magpie_damages,Current Policies,CHN,Population,2025,1411.3712
Remind-Magpie_damages,Current Policies,CHN,GDP_damage,2025,25479.3475778222
Remind-Magpie_damages,Current Policies,CIV,Population,2025,30.2047
Remind-Magpie_damages,Current Policies,CIV,GDP_damage,2025,165.361252334669
Remind-Magpie_damages,Current Policies,CMR,Population,2025,30.0657
Remind-Magpie_damages,Current Policies,CMR,GDP_damage,2025,104.610078215258
Remind-Magpie_damages,Current Policies,COD,Population,2025,109.1461
Remind-Magpie_damages,Current Policies,COD,GDP_damage,2025,119.894353995569
Remind-Magpie_damages,Current Policies,COG,Population,2025,6.4375
Remind-Magpie_damages,Current Policies,COG,GDP_damage,2025,21.738362467493
Remind-Magpie_damages,Current Policies,COL,Population,2025,52.8939
Remind-Magpie_damages,Current Policies,COL,GDP_damage,2025,746.958340963254
Remind-Magpie_damages,Current Policies,CRI,Population,2025,5.3043
Remind-Magpie_damages,Current Policies,CRI,GDP_damage,2025,111.058404365003
Remind-Magpie_damages,Current Policies,CUB,Population,2025,11.3122
Remind-Magpie_damages,Current Policies,CUB,GDP_damage,2025,77.6327659045768
Remind-Magpie_damages,Current Policies,CYP,Population,2025,1.2774
Remind-Magpie_damages,Current Policies,CYP,GDP_damage,2025,39.8369322515896
Remind-Magpie_damages,Current Policies,CZE,Population,2025,10.789
Remind-Magpie_damages,Current Policies,CZE,GDP_damage,2025,398.721718756928
Remind-Magpie_damages,Current Policies,DEU,Population,2025,83.1263
Remind-Magpie_damages,Current Policies,DEU,GDP_damage,2025,4019.04380898798
Remind-Magpie_damages,Current Policies,DNK,Population,2025,5.8698
Remind-Magpie_damages,Current Policies,DNK,GDP_damage,2025,322.104480176933
Remind-Magpie_damages,Current Policies,DOM,Population,2025,11.6414
Remind-Magpie_damages,Current Policies,DOM,GDP_damage,2025,232.108646981201
Remind-Magpie_damages,Current Policies,DZA,Population,2025,47.2069
Remind-Magpie_damages,Current Policies,DZA,GDP_damage,2025,470.243916819097
Remind-Magpie_damages,Current Policies,ECU,Population,2025,18.5805
Remind-Magpie_damages,Current Policies,ECU,GDP_damage,2025,193.594638134287
Remind-Magpie_damages,Current Policies,EGY,Population,2025,117.1798
Remind-Magpie_damages,Current Policies,EGY,GDP_damage,2025,1385.77388820006
Remind-Magpie_damages,Current Policies,ERI,Population,2025,3.9134
Remind-Magpie_damages,Current Policies,ERI,GDP_damage,2025,6.16435141587271
Remind-Magpie_damages,Current Policies,ESP,Population,2025,47.3281
Remind-Magpie_damages,Current Policies,ESP,GDP_damage,2025,1767.88548688405
