"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CAN","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",1633.8211,1764.78008408576,1912.22284942098,2138.0294588308,2375.18962142022,2633.11605306352,2904.85813161404,3153.71596623236,3397.44322575403,3656.2126685584,3908.46174877142,4150.26981748391,4407.15513933904,4652.65282624583,4901.39054747439,5124.37493200356,5315.61381769588
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CHE","Population","million",8.6864,8.8939,9.0241,9.1757,9.3254,9.4874,9.6685,9.8314,9.9701,10.0648,10.1718,10.2476,10.325,10.3616,10.3835,10.37,10.3399
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CHE","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",554.1454,571.772410206381,575.677767164376,596.805496679903,619.701608699021,644.477926180653,673.980622751911,710.057765509515,740.373789766405,773.311738556352,815.83635391626,853.374632386086,893.956722688358,930.107319897907,965.295579626586,993.063767081182,1019.28348689576
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CHL","Population","million",19.3578,19.7585,20.1315,20.4065,20.5708,20.6284,20.6037,20.4901,20.2887,19.9758,19.6686,19.2382,18.8076,18.2845,17.7504,17.1851,16.6387
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CHL","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",430.2798,466.447965985021,483.884134320364,517.351348643682,555.74005817392,600.292711107429,654.965581000941,714.354189249805,769.195798675421,829.750922760947,890.218973000234,959.41715758847,1028.44201390841,1086.0587530493,1137.48119785142,1187.10194494349,1224.9632159514
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CHN","Population","million",1411.3828,1411.3712,1402.9482,1385.6862,1362.7381,1332.6328,1293.6929,1245.7073,1191.836,1136.569,1081.3222,1029.3246,977.295,928.1487,878.9964,835.8197,792.6356
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CHN","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",20823.6472,25212.5251743484,28273.3254062534,31915.9502955899,35421.5195507169,39136.1601380539,42715.1432380307,46179.9167101432,48841.9038761779,51428.7713094289,54193.6002674437,56225.1085466999,58261.9693178208,59254.2947367046,60265.5680899641,61451.7119597899,62812.5767193127
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CIV","Population","million",26.856,30.2047,33.5919,36.927,40.1497,43.2024,46.0183,48.5808,50.8303,52.6727,54.4679,55.6459,56.7747,57.3505,58.0502,58.266,58.582
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CIV","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",129.6194,163.606793159651,204.286000487584,263.737108423731,342.21538676921,433.598687887436,530.972891428566,650.145717709898,786.460005886475,965.17477472532,1133.54655784532,1379.79132037823,1604.90381005392,1890.76659519734,2155.48918910741,2477.8556235475,2788.35837138247
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CMR","Population","million",26.5106,30.0657,33.716,37.3493,40.9424,44.4624,47.8184,50.9538,53.761,56.1088,58.3908,59.9006,61.3488,62.0404,62.7248,62.7989,62.9289
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","CMR","GDP|PPP|including medium chronic physical risk damage estimate","billion US$2010/yr",92.4572,103.498790088774,120.627267069667,150.796695371854,195.746369224356,252.529847222078,317.867734164873,402.100347299313,504.853318272217,644.244120580474,786.257244236995,992.932898610675,1197.78335685368,1462.82798999749,1726.03441082648,2049.5714162883,2375.17482279941
"Downscaling[REMIND-MAgPIE 3.3-4.8 IntegratedPhysicalDamages (median)]","Below 2?C","COD","Population","million",92.6371,109.1461,127.4983,147.1076,167.8903,189.5278,211.5692,233.5169,255.0357,275.0218,295.1772,312.4142,329.5259,342.7677,355.1288,362.9434,369.9293
