country,technology,Year,wacc,ISO,inflation,gdp,unemployment,population,is_solar,is_wind_onshore,is_wind_offshore,GDP_PPP
Republic of Hungary,wind onshore,2015,0.0835,HUN,2.7757419080134,12717.038597002,6.813,9843028.0,0,1,0,309070263288.147
Republic of Hungary,solar pv,2015,0.074,HUN,2.7757419080134,12717.038597002,6.813,9843028.0,1,0,0,309070263288.147
Republic of Hungary,solar pv,2020,0.1843,HUN,6.38947660567723,14437.8088480852,4.25,9750149.0,1,0,0,347580218856.341
Republic of India,solar pv,2016,0.1053666666666667,IND,3.23797495080767,1694.46534973825,7.601,1343944296.0,1,0,0,9327814573620.6
Republic of India,solar pv,2017,0.0831,IND,3.96925793352338,1788.69770318446,7.618,1359657400.0,1,0,0,9961675338509.53
Republic of India,wind onshore,2017,0.1014,IND,3.96925793352338,1788.69770318446,7.618,1359657400.0,0,1,0,9961675338509.53
Republic of India,solar pv,2023,0.10746,IND,1.33405065563208,2236.31279250417,4.172,1438069596.0,1,0,0,13172809037823.4
Republic of India,solar pv,2013,0.0875,IND,6.18650400083453,1399.4537980287,7.711,1295829511.0,1,0,0,7428008206430.01
Republic of India,solar pv,2014,0.108,IND,3.33175691706154,1484.31640682913,7.674,1312277191.0,1,0,0,7978440521051.13
Republic of India,solar pv,2015,0.1055,IND,2.27958810849833,1583.99815907985,7.631,1328024498.0,1,0,0,8616416873256.67
Republic of India,solar pv,2011,0.097,IND,8.73357890618065,1281.61054354933,7.616,1261224954.0,1,0,0,6620862520105.21
Republic of India,solar pv,2012,0.115,IND,7.9343874779296,1333.09626557668,7.666,1278674502.0,1,0,0,6982122438465.14
Republic of India,solar pv,2018,0.11,IND,3.88424027196663,1883.35772705062,7.652,1374659064.0,1,0,0,10604587056326.2
Republic of India,solar pv,2019,0.0935,IND,2.40551716106513,1936.03067741067,6.51,1389030312.0,1,0,0,11015136957033.9
Republic of India,solar pv,2021,0.0975,IND,8.35490771481598,1965.30943437506,6.38,1414203896.0,1,0,0,11384367630967.9
Republic of India,solar pv,2022,0.095,IND,6.74751308321969,2086.07688562779,4.822,1425423212.0,1,0,0,12179797874332.3
Republic of India,solar pv,2020,0.0708333333333333,IND,4.81485791893405,1806.50110583878,7.859,1402617695.0,1,0,0,10378712667572.0
Republic of India,wind onshore,2020,0.0838,IND,4.81485791893405,1806.50110583878,7.859,1402617695.0,0,1,0,10378712667572.0
Republic of India,wind onshore,2015,0.108,IND,2.27958810849833,1583.99815907985,7.631,1328024498.0,0,1,0,8616416873256.67
Republic of India,wind onshore,2010,0.107,IND,10.5260308551661,1235.15939133951,7.652,1243481564.0,0,1,0,6291124777993.23
Republic of Indonesia,solar pv,2023,0.093786,IDN,1.5330736733459,4192.62390181339,3.308,281190067.0,1,0,0,3905697098370.97
Republic of Indonesia,solar pv,2019,0.0925,IDN,1.59848849984144,3850.90321753072,3.59,272489381.0,1,0,0,3476360960874.61
Republic of Indonesia,solar pv,2021,0.1,IDN,6.00397322136207,3850.68877267995,3.827,276758053.0,1,0,0,3530623140454.75
Republic of Indonesia,solar pv,2022,0.0825,IDN,9.56668684525337,4024.92074265014,3.462,278830529.0,1,0,0,3718008116107.65
Ireland,wind onshore,2014,0.09,IRL,0.260925717324383,52098.1049579337,11.858,4657740.0,0,1,0,305828059323.835
Ireland,wind onshore,2019,0.0775,IRL,3.39169553046668,77117.1897861686,4.95,4934340.0,0,1,0,479579296996.427
